primary_category,secondary_category,review_year,review_month,avg_rating,total_reviews,avg_price,pct_recommended
Skincare,High Tech Tools,2020,9,4.3,67,82.66,0.87
Skincare,High Tech Tools,2020,10,4.45,64,100.48,0.91
Skincare,High Tech Tools,2020,11,4.01,76,116.93,0.76
Skincare,High Tech Tools,2020,12,3.95,85,95.05,0.76
Skincare,High Tech Tools,2021,1,4.17,114,118.0,0.82
Skincare,High Tech Tools,2021,2,3.98,87,150.69,0.7
Skincare,High Tech Tools,2021,3,4.1,109,118.11,0.79
Skincare,High Tech Tools,2021,4,4.16,171,167.93,0.8
Skincare,High Tech Tools,2021,5,3.9,109,84.61,0.76
Skincare,High Tech Tools,2021,6,4.35,170,91.31,0.85
Skincare,High Tech Tools,2021,7,4.05,84,96.4,0.77
Skincare,High Tech Tools,2021,8,4.18,66,83.95,0.82
Skincare,High Tech Tools,2021,9,3.89,90,128.57,0.74
Skincare,High Tech Tools,2021,10,3.93,70,89.0,0.71
Skincare,High Tech Tools,2021,11,3.96,121,79.09,0.78
Skincare,High Tech Tools,2021,12,4.53,326,143.61,0.91
Skincare,High Tech Tools,2022,1,4.29,272,63.2,0.83
Skincare,High Tech Tools,2022,2,4.56,472,184.12,0.94
Skincare,High Tech Tools,2022,3,4.3,256,83.8,0.84
Skincare,High Tech Tools,2022,4,4.44,182,71.7,0.87
Skincare,High Tech Tools,2022,5,4.18,57,63.88,0.79
Skincare,High Tech Tools,2022,6,3.55,51,99.61,0.65
Skincare,High Tech Tools,2022,7,4.61,137,77.45,0.91
Skincare,High Tech Tools,2022,8,4.28,120,68.26,0.83
Skincare,High Tech Tools,2022,9,4.45,102,251.24,0.89
Skincare,High Tech Tools,2022,10,4.75,131,179.82,0.95
Skincare,High Tech Tools,2022,11,4.0,29,118.69,0.72
Skincare,High Tech Tools,2022,12,3.65,60,64.02,0.7
Skincare,High Tech Tools,2023,1,4.32,142,222.88,0.88
Skincare,High Tech Tools,2023,2,4.19,139,198.42,0.83
Skincare,High Tech Tools,2023,3,4.06,35,103.94,0.74
Skincare,Lip Balms & Treatments,2008,8,4.8,5,11.2,
Skincare,Lip Balms & Treatments,2008,9,4.62,266,8.33,
Skincare,Lip Balms & Treatments,2008,10,4.69,84,9.71,
Skincare,Lip Balms & Treatments,2008,11,4.61,95,8.84,
Skincare,Lip Balms & Treatments,2008,12,4.65,120,8.86,
Skincare,Lip Balms & Treatments,2009,1,4.63,108,9.59,
Skincare,Lip Balms & Treatments,2009,2,4.73,81,9.65,
Skincare,Lip Balms & Treatments,2009,3,4.72,193,8.61,
Skincare,Lip Balms & Treatments,2009,4,4.68,200,8.46,
Skincare,Lip Balms & Treatments,2009,5,4.69,221,8.31,
Skincare,Lip Balms & Treatments,2009,6,4.74,143,8.03,
Skincare,Lip Balms & Treatments,2009,7,4.69,125,9.01,
Skincare,Lip Balms & Treatments,2009,8,4.78,226,8.54,
Skincare,Lip Balms & Treatments,2009,9,4.7,168,8.46,
Skincare,Lip Balms & Treatments,2009,10,4.71,167,8.25,
Skincare,Lip Balms & Treatments,2009,11,4.6,124,8.25,
